2017/12/02 14:28:31.05: internet is not connected
2017/12/02 14:28:31.06: internet is not connected
2017/12/02 14:28:31.06: internet is not connected
2017/12/02 14:28:31.07: internet is not connected
2017/12/02 14:28:31.08: internet is not connected
2017/12/02 14:28:31.08: internet is not connected
2017/12/02 14:28:31.09: internet is not connected
2017/12/02 14:28:31.10: internet is not connected
2017/12/02 14:28:31.10: internet is not connected
2017/12/02 14:28:31.11: internet is not connected
2017/12/02 14:28:31.11: internet is not connected
2017/12/02 14:28:31.12: internet is not connected
2017/12/02 14:28:31.13: internet is not connected
2017/12/02 14:28:31.13: internet is not connected
2017/12/02 14:28:31.14: internet is not connected
2017/12/02 14:28:31.15: internet is not connected
2017/12/02 14:28:31.15: internet is not connected
2017/12/02 14:28:31.16: internet is not connected
2017/12/02 14:28:31.17: internet is not connected
2017/12/02 14:28:31.18: internet is not connected
2017/12/02 14:28:31.18: internet is not connected
2017/12/02 14:28:31.19: internet is not connected
2017/12/02 14:28:31.19: internet is not connected
2017/12/02 14:28:31.20: internet is not connected
2017/12/02 14:28:31.20: internet is not connected
2017/12/02 14:28:31.21: internet is not connected
2017/12/02 14:28:31.22: internet is not connected
2017/12/02 14:28:31.22: internet is not connected
2017/12/02 14:28:31.23: internet is not connected
2017/12/02 14:28:31.24: internet is not connected
2017/12/02 14:28:31.24: internet is not connected
2017/12/02 14:28:31.25: internet is not connected
2017/12/02 14:28:31.26: internet is not connected
2017/12/02 14:28:31.26: internet is not connected
2017/12/02 14:28:31.27: internet is not connected
2017/12/02 14:28:31.28: internet is not connected
2017/12/02 14:28:31.28: internet is not connected
2017/12/02 14:28:31.29: internet is not connected
2017/12/02 14:28:31.30: internet is not connected
2017/12/02 14:28:31.30: internet is not connected
2017/12/02 14:28:31.31: internet is not connected
2017/12/02 14:28:31.31: internet is not connected
2017/12/02 14:28:31.32: internet is not connected
2017/12/02 14:28:31.33: internet is not connected
2017/12/02 14:28:31.33: internet is not connected
2017/12/02 14:28:31.34: internet is not connected
2017/12/02 14:28:31.35: internet is not connected
2017/12/02 14:28:31.35: internet is not connected
2017/12/02 14:28:31.36: internet is not connected
2017/12/02 14:28:31.36: internet is not connected
2017/12/02 14:28:31.37: internet is not connected
2017/12/02 14:28:31.38: internet is not connected
2017/12/02 14:28:31.38: internet is not connected
2017/12/02 14:28:31.39: internet is not connected
2017/12/02 14:28:31.40: internet is not connected
2017/12/02 14:28:31.40: internet is not connected
2017/12/02 14:28:31.41: internet is not connected
2017/12/02 14:28:31.42: internet is not connected
2017/12/02 14:28:31.43: internet is not connected
2017/12/02 14:28:31.43: internet is not connected
2017/12/02 14:28:31.44: internet is not connected
2017/12/02 14:28:31.45: internet is not connected
2017/12/02 14:28:31.45: internet is not connected
2017/12/02 14:28:31.46: internet is not connected
2017/12/02 14:28:31.47: internet is not connected
2017/12/02 14:28:31.47: internet is not connected
2017/12/02 14:28:31.48: internet is not connected
2017/12/02 14:28:31.48: internet is not connected
2017/12/02 14:28:31.49: internet is not connected
2017/12/02 14:28:31.50: internet is not connected
2017/12/02 14:28:31.50: internet is not connected
2017/12/02 14:28:31.51: internet is not connected
2017/12/02 14:28:31.52: internet is not connected
2017/12/02 14:28:31.52: internet is not connected
2017/12/02 14:28:31.53: internet is not connected
2017/12/02 14:28:31.54: internet is not connected
2017/12/02 14:28:31.54: internet is not connected
2017/12/02 14:28:31.55: internet is not connected
2017/12/02 14:28:31.55: internet is not connected
2017/12/02 14:28:31.56: internet is not connected
2017/12/02 14:28:31.57: internet is not connected
2017/12/02 14:28:31.57: internet is not connected
2017/12/02 14:28:31.58: internet is not connected
2017/12/02 14:28:31.59: internet is not connected
2017/12/02 14:28:31.59: internet is not connected
2017/12/02 14:28:31.60: internet is not connected
2017/12/02 14:28:31.61: internet is not connected
2017/12/02 14:28:31.61: internet is not connected
2017/12/02 14:28:31.62: internet is not connected
2017/12/02 14:28:31.62: internet is not connected
2017/12/02 14:28:31.63: internet is not connected
2017/12/02 14:28:31.64: internet is not connected
2017/12/02 14:28:31.64: internet is not connected
2017/12/02 14:28:31.65: internet is not connected
2017/12/02 14:28:31.66: internet is not connected
2017/12/02 14:28:31.66: internet is not connected
2017/12/02 14:28:31.67: internet is not connected
2017/12/02 14:28:31.68: internet is not connected
2017/12/02 14:28:31.68: internet is not connected
2017/12/02 14:28:31.69: internet is not connected
2017/12/02 14:28:31.70: internet is not connected
2017/12/02 14:28:31.70: internet is not connected
2017/12/02 14:28:31.71: internet is not connected
2017/12/02 14:28:31.71: internet is not connected
2017/12/02 14:28:31.72: internet is not connected
2017/12/02 14:28:31.73: internet is not connected
2017/12/02 14:28:31.73: internet is not connected
2017/12/02 14:28:31.74: internet is not connected
2017/12/02 14:28:31.75: internet is not connected
2017/12/02 14:28:31.75: internet is not connected
2017/12/02 14:28:31.76: internet is not connected
2017/12/02 14:28:31.76: internet is not connected
2017/12/02 14:28:31.77: internet is not connected
2017/12/02 14:28:31.78: internet is not connected
2017/12/02 14:28:31.78: internet is not connected
2017/12/02 14:28:31.79: internet is not connected
2017/12/02 14:28:31.80: internet is not connected
2017/12/02 14:28:31.80: internet is not connected
2017/12/02 14:28:31.81: internet is not connected
2017/12/02 14:28:31.82: internet is not connected
2017/12/02 14:28:31.82: internet is not connected
2017/12/02 14:28:31.83: internet is not connected
2017/12/02 14:28:31.83: internet is not connected
2017/12/02 14:28:31.84: internet is not connected
2017/12/02 14:28:31.85: internet is not connected
2017/12/02 14:28:31.85: internet is not connected
2017/12/02 14:28:31.86: internet is not connected
2017/12/02 14:28:31.87: internet is not connected
2017/12/02 14:28:31.87: internet is not connected
2017/12/02 14:28:31.88: internet is not connected
2017/12/02 14:28:31.88: internet is not connected
2017/12/02 14:28:31.89: internet is not connected
2017/12/02 14:28:31.90: internet is not connected
2017/12/02 14:28:31.90: internet is not connected
2017/12/02 14:28:31.91: internet is not connected
2017/12/02 14:28:31.91: internet is not connected
2017/12/02 14:28:31.92: internet is not connected
2017/12/02 14:28:31.93: internet is not connected
2017/12/02 14:28:31.93: internet is not connected
2017/12/02 14:28:31.94: internet is not connected
2017/12/02 14:28:31.95: internet is not connected
2017/12/02 14:28:31.95: internet is not connected
2017/12/02 14:28:31.96: internet is not connected
2017/12/02 14:28:31.97: internet is not connected
2017/12/02 14:28:31.97: internet is not connected
2017/12/02 14:28:31.98: internet is not connected
2017/12/02 14:28:31.98: internet is not connected
2017/12/02 14:28:31.99: internet is not connected
2017/12/02 14:28:32.00: internet is not connected
2017/12/02 14:28:32.00: internet is not connected
2017/12/02 14:28:32.01: internet is not connected
2017/12/02 14:28:32.02: internet is not connected
2017/12/02 14:28:32.02: internet is not connected
2017/12/02 14:28:32.03: internet is not connected
2017/12/02 14:28:32.04: internet is not connected
2017/12/02 14:28:32.04: internet is not connected
2017/12/02 14:28:32.05: internet is not connected
2017/12/02 14:28:32.05: internet is not connected
2017/12/02 14:28:32.06: internet is not connected
2017/12/02 14:28:32.07: internet is not connected
2017/12/02 14:28:32.07: internet is not connected
2017/12/02 14:28:32.08: internet is not connected
2017/12/02 14:28:32.08: internet is not connected
2017/12/02 14:28:32.09: internet is not connected
2017/12/02 14:28:32.10: internet is not connected
2017/12/02 14:28:32.10: internet is not connected
2017/12/02 14:28:32.11: internet is not connected
2017/12/02 14:28:32.12: internet is not connected
2017/12/02 14:28:32.13: internet is not connected
2017/12/02 14:28:32.13: internet is not connected
2017/12/02 14:28:32.14: internet is not connected
2017/12/02 14:28:32.15: internet is not connected
2017/12/02 14:28:32.15: internet is not connected
2017/12/02 14:28:32.16: internet is not connected
2017/12/02 14:28:32.17: internet is not connected
2017/12/02 14:28:32.18: internet is not connected
2017/12/02 14:28:32.18: internet is not connected
2017/12/02 14:28:32.19: internet is not connected
2017/12/02 14:28:32.20: internet is not connected
